# candidate verify watch: ['0x140d506b4', '0x140d508d0', '0x140d508d8', '0x140d508ec', '0x140d50904', '0x140d50924', '0x140d50938', '0x140d4955c', '0x140d50916', '0x140d49554', '0x140d3a8ea', '0x140d494d0']
06:39:08.528 0x140d506b4: BASE 0
06:39:08.528 0x140d508d0: BASE 0
06:39:08.528 0x140d508d8: BASE 0
06:39:08.528 0x140d508ec: BASE 0
06:39:08.528 0x140d50904: BASE 0
06:39:08.528 0x140d50924: BASE 0
06:39:08.528 0x140d50938: BASE 0
06:39:08.528 0x140d4955c: BASE 1
06:39:08.528 0x140d50916: BASE 1
06:39:08.528 0x140d49554: BASE 0
06:39:08.528 0x140d3a8ea: BASE 6
06:39:08.528 0x140d494d0: BASE 3
06:39:09.082 0x140d506b4: 0 -> 1
06:39:09.133 0x140d506b4: 1 -> 0
06:39:10.850 0x140d506b4: 0 -> 1
06:39:10.902 0x140d506b4: 1 -> 0
06:39:17.357 0x140d506b4: 0 -> 1
06:39:17.458 0x140d506b4: 1 -> 0
06:39:20.028 0x140d506b4: 0 -> 1
06:39:20.079 0x140d506b4: 1 -> 0
06:39:25.728 0x140d506b4: 0 -> 1
06:39:25.778 0x140d506b4: 1 -> 0
06:39:27.292 0x140d506b4: 0 -> 1
06:39:27.292 0x140d508d0: 0 -> 1
06:39:27.292 0x140d508d8: 0 -> 1
06:39:27.292 0x140d494d0: 3 -> 2
06:39:27.343 0x140d508ec: 0 -> 1
06:39:27.343 0x140d50904: 0 -> 1
06:39:27.343 0x140d50924: 0 -> 1
06:39:27.343 0x140d50938: 0 -> 1
06:39:27.343 0x140d50916: 1 -> 0
06:39:27.343 0x140d49554: 0 -> 2
06:39:27.343 0x140d494d0: 2 -> 4
06:39:27.393 0x140d4955c: 1 -> 0
06:39:27.393 0x140d3a8ea: 6 -> 255
06:39:27.696 0x140d3a8ea: 255 -> 2
06:39:28.757 0x140d508d8: 1 -> 65
06:39:28.757 0x140d50904: 1 -> 0
06:39:28.757 0x140d3a8ea: 2 -> 255
06:39:28.858 0x140d508d8: 65 -> 1
06:39:28.858 0x140d50924: 1 -> 0
06:39:28.858 0x140d50938: 1 -> 153
06:39:28.858 0x140d50916: 0 -> 1
06:39:28.858 0x140d49554: 2 -> 16
06:39:28.858 0x140d3a8ea: 255 -> 6
06:39:28.858 0x140d494d0: 4 -> 3
06:39:28.909 0x140d508d8: 1 -> 65
06:39:28.909 0x140d49554: 16 -> 13
06:39:28.959 0x140d49554: 13 -> 10
06:39:29.010 0x140d49554: 10 -> 7
06:39:29.061 0x140d49554: 7 -> 3
06:39:29.112 0x140d4955c: 0 -> 1
06:39:29.112 0x140d49554: 3 -> 0
06:39:29.364 0x140d508d8: 65 -> 1
06:39:29.364 0x140d50938: 153 -> 0
06:39:29.414 0x140d506b4: 1 -> 0
06:39:29.414 0x140d508d0: 1 -> 0
06:39:29.414 0x140d508d8: 1 -> 0
06:39:29.414 0x140d508ec: 1 -> 0
06:39:29.465 0x140d506b4: 0 -> 1
06:39:29.516 0x140d508d0: 0 -> 1
06:39:29.516 0x140d508d8: 0 -> 1
06:39:29.516 0x140d508ec: 0 -> 1
06:39:29.516 0x140d50904: 0 -> 1
06:39:29.516 0x140d50924: 0 -> 1
06:39:29.516 0x140d50938: 0 -> 1
06:39:29.516 0x140d50916: 1 -> 0
06:39:29.516 0x140d49554: 0 -> 3
06:39:29.516 0x140d494d0: 3 -> 4
06:39:29.566 0x140d4955c: 1 -> 0
06:39:29.566 0x140d49554: 3 -> 2
06:39:29.566 0x140d3a8ea: 6 -> 255
06:39:29.869 0x140d3a8ea: 255 -> 2
06:39:30.928 0x140d508d8: 1 -> 65
06:39:30.928 0x140d50904: 1 -> 0
06:39:30.928 0x140d3a8ea: 2 -> 255
06:39:31.029 0x140d508d8: 65 -> 1
06:39:31.029 0x140d50924: 1 -> 0
06:39:31.029 0x140d50938: 1 -> 153
06:39:31.029 0x140d50916: 0 -> 1
06:39:31.029 0x140d49554: 2 -> 16
06:39:31.029 0x140d3a8ea: 255 -> 6
06:39:31.029 0x140d494d0: 4 -> 3
06:39:31.080 0x140d508d8: 1 -> 65
06:39:31.080 0x140d49554: 16 -> 13
06:39:31.130 0x140d49554: 13 -> 10
06:39:31.181 0x140d49554: 10 -> 7
06:39:31.231 0x140d49554: 7 -> 4
06:39:31.282 0x140d49554: 4 -> 1
06:39:31.332 0x140d4955c: 0 -> 1
06:39:31.332 0x140d49554: 1 -> 0
06:39:31.533 0x140d508d8: 65 -> 1
06:39:31.533 0x140d508ec: 1 -> 0
06:39:31.533 0x140d50938: 153 -> 0
06:39:31.584 0x140d506b4: 1 -> 0
06:39:31.584 0x140d508d0: 1 -> 0
06:39:31.584 0x140d508d8: 1 -> 0
06:39:31.785 0x140d506b4: 0 -> 1
06:39:31.836 0x140d508d0: 0 -> 1
06:39:31.836 0x140d508d8: 0 -> 1
06:39:31.836 0x140d508ec: 0 -> 1
06:39:31.836 0x140d50904: 0 -> 1
06:39:31.836 0x140d50924: 0 -> 1
06:39:31.836 0x140d50938: 0 -> 1
06:39:31.836 0x140d50916: 1 -> 0
06:39:31.836 0x140d49554: 0 -> 3
06:39:31.836 0x140d494d0: 3 -> 4
06:39:31.886 0x140d4955c: 1 -> 0
06:39:31.886 0x140d49554: 3 -> 2
06:39:31.886 0x140d3a8ea: 6 -> 255
06:39:32.239 0x140d3a8ea: 255 -> 2
06:39:35.516 0x140d508d8: 1 -> 65
06:39:35.516 0x140d50904: 1 -> 0
06:39:35.516 0x140d3a8ea: 2 -> 255
06:39:35.567 0x140d494d0: 4 -> 1
06:39:35.617 0x140d50924: 1 -> 0
06:39:35.617 0x140d50938: 1 -> 153
06:39:35.617 0x140d50916: 0 -> 1
06:39:35.617 0x140d49554: 2 -> 15
06:39:35.617 0x140d3a8ea: 255 -> 6
