# candidate verify watch: ['0x140d408e2', '0x140d508d0', '0x140c6ad38', '0x140c6ad39']
11:09:48.957 0x140d408e2: BASE 1
11:09:48.957 0x140d508d0: BASE 1
11:09:48.957 0x140c6ad38: BASE 192
11:09:48.957 0x140c6ad39: BASE 102
11:09:58.330 0x140c6ad38: 192 -> 0
11:09:58.330 0x140c6ad39: 102 -> 112
11:09:58.381 0x140c6ad38: 0 -> 192
11:09:58.381 0x140c6ad39: 112 -> 153
11:10:00.749 0x140d408e2: 1 -> 0
11:10:00.800 0x140c6ad38: 192 -> 0
11:10:00.850 0x140c6ad38: 0 -> 48
11:10:00.850 0x140c6ad39: 153 -> 224
11:10:01.102 0x140d508d0: 1 -> 0
11:10:01.152 0x140d508d0: 0 -> 1
11:10:01.607 0x140d508d0: 1 -> 0
11:10:02.111 0x140d508d0: 0 -> 1
11:10:02.515 0x140c6ad38: 48 -> 192
11:10:02.515 0x140c6ad39: 224 -> 103
11:10:02.566 0x140d408e2: 0 -> 1
11:10:02.566 0x140c6ad39: 103 -> 150
11:10:02.616 0x140c6ad39: 150 -> 153
11:10:30.476 0x140c6ad38: 192 -> 0
11:10:30.476 0x140c6ad39: 153 -> 53
11:10:33.850 0x140c6ad38: 0 -> 192
11:10:33.850 0x140c6ad39: 53 -> 137
11:10:33.901 0x140c6ad39: 137 -> 153
11:10:34.708 0x140c6ad38: 192 -> 0
11:10:34.758 0x140c6ad39: 153 -> 53
11:11:10.633 0x140d408e2: 1 -> 0
11:11:10.633 0x140c6ad39: 53 -> 55
11:11:45.948 0x140c6ad38: 0 -> 64
11:11:45.948 0x140c6ad39: 55 -> 54
11:11:45.998 0x140d408e2: 0 -> 1
11:11:45.998 0x140c6ad38: 64 -> 192
11:11:45.998 0x140c6ad39: 54 -> 102
11:12:37.739 0x140c6ad39: 102 -> 132
11:12:37.789 0x140c6ad39: 132 -> 153
11:13:07.867 0x140d408e2: 1 -> 0
11:13:07.867 0x140c6ad38: 192 -> 96
11:13:07.867 0x140c6ad39: 153 -> 249
11:13:07.918 0x140c6ad38: 96 -> 192
11:13:09.127 0x140c6ad38: 192 -> 224
11:13:09.127 0x140c6ad39: 249 -> 250
11:13:09.178 0x140c6ad38: 224 -> 64
11:13:09.178 0x140c6ad39: 250 -> 251
11:13:10.589 0x140c6ad38: 64 -> 16
11:13:10.639 0x140c6ad38: 16 -> 0
11:13:10.639 0x140c6ad39: 251 -> 53
11:13:19.812 0x140c6ad38: 0 -> 64
11:13:19.812 0x140c6ad39: 53 -> 52
11:13:19.863 0x140c6ad38: 64 -> 48
11:13:19.863 0x140c6ad39: 52 -> 224
11:13:20.316 0x140d508d0: 1 -> 0
11:13:26.866 0x140c6ad38: 48 -> 192
11:13:26.866 0x140c6ad39: 224 -> 53
11:13:26.917 0x140d508d0: 0 -> 1
11:13:28.176 0x140c6ad38: 192 -> 48
11:13:28.176 0x140c6ad39: 53 -> 233
11:13:28.226 0x140c6ad38: 48 -> 32
11:13:28.226 0x140c6ad39: 233 -> 250
11:13:28.277 0x140c6ad38: 32 -> 128
11:13:28.327 0x140c6ad38: 128 -> 224
11:13:28.781 0x140c6ad38: 224 -> 64
11:13:28.781 0x140c6ad39: 250 -> 251
11:13:28.831 0x140c6ad38: 64 -> 80
11:13:28.831 0x140c6ad39: 251 -> 131
11:13:28.882 0x140c6ad38: 80 -> 32
11:13:28.882 0x140c6ad39: 131 -> 253
11:13:28.932 0x140c6ad38: 32 -> 128
11:14:45.106 0x140c6ad38: 128 -> 80
11:14:45.207 0x140c6ad38: 80 -> 224
11:14:45.207 0x140c6ad39: 253 -> 250
11:14:45.710 0x140d508d0: 1 -> 0
11:14:45.761 0x140d508d0: 0 -> 1
11:14:49.890 0x140d508d0: 1 -> 0
11:14:50.596 0x140d508d0: 0 -> 1
11:14:50.999 0x140c6ad38: 224 -> 64
11:14:50.999 0x140c6ad39: 250 -> 128
11:14:51.049 0x140d408e2: 0 -> 1
11:14:51.049 0x140c6ad38: 64 -> 0
11:14:51.049 0x140c6ad39: 128 -> 156
11:14:54.627 0x140d408e2: 1 -> 0
11:14:54.627 0x140c6ad38: 0 -> 192
11:14:54.627 0x140c6ad39: 156 -> 249
11:14:54.677 0x140c6ad38: 192 -> 32
11:14:54.677 0x140c6ad39: 249 -> 250
11:15:32.566 0x140c6ad38: 32 -> 64
11:15:32.566 0x140c6ad39: 250 -> 251
11:15:32.616 0x140c6ad38: 64 -> 0
11:15:32.616 0x140c6ad39: 251 -> 252
11:15:52.818 0x140c6ad38: 0 -> 208
11:15:52.818 0x140c6ad39: 252 -> 251
11:15:52.919 0x140c6ad38: 208 -> 224
11:15:52.919 0x140c6ad39: 251 -> 250
